No.,F,Fm,PAR,Y(II),ETR,TAG,History,Treatment,Time Point,Experiment,Species ,Colony,,,,
3585,352,648,0,0.457,0,684,28,,T2,BB/HR,,,,,,
3586,572,650,0,0.120,0,682,28,,T2,BB/HR,,,,,,
3587,449,517,0,0.132,0,208,28,,T2,BB/HR,,,,,,
3588,426,632,0,0.326,0,811,31,,T2,BB/HR,,,,,,
3589,455,532,0,0.145,0,571,31,,T2,BB/HR,,,,,,
3590,496,693,0,0.284,0,782,31,,T2,BB/HR,,,,,,
3591,578,937,0,0.383,0,767,28,,T2,BB/HR,,,,,,
3592,553,905,0,0.389,0,293,31,,T2,BB/HR,,,,,,
3593,914,1022,0,0.106,0,839,31,,T2,BB/HR,,,,,,
3594,478,1042,0,0.541,0,526,31,,T2,BB/HR,,,,,,
3595,684,934,0,0.268,0,847,28,,T2,BB/HR,,,,,,
3596,118,221,0,0.466,0,838,31,,T2,BB/HR,,,,,,
3597,659,907,0,0.273,0,599,31,,T2,BB/HR,,,,,,
3598,324,395,0,0.180,0,844,31,,T2,BB/HR,,,,,,
3599,475,630,0,0.246,0,503,28,,T2,BB/HR,,,,,,
3600,547,853,0,0.359,0,224,28,,T2,BB/HR,,,,,,
3601,500,853,0,0.414,0,689,31,,T2,BB/HR,,,,,,
3602,371,465,0,0.202,0,671,31,,T2,BB/HR,,,,,,
3603,329,370,0,0.111,0,622,31,,T2,BB/HR,,,,,,
3604,184,218,0,0.156,0,700,28,,T2,BB/HR,,,,,,
3605,248,383,0,0.352,0,190,28,,T2,BB/HR,,,,,,
3606,323,418,0,0.227,0,338,31,,T2,BB/HR,,,,,,
3607,274,373,0,0.265,0,583,28,,T2,BB/HR,,,,,,
3608,522,823,0,0.366,0,530,31,,T2,BB/HR,,,,,,
3609,392,780,0,0.497,0,510,28,,T2,BB/HR,,,,,,
3610,402,715,0,0.438,0,833,28,,T2,BB/HR,,,,,,
3611,478,818,0,0.416,0,203,28,,T2,BB/HR,,,,,,
3613,357,461,0,0.226,0,825,28,,T2,BB/HR,,,,,,
3614,332,454,0,0.269,0,812,28,,T2,BB/HR,,,,,,
3615,325,646,0,0.497,0,266,28,,T2,BB/HR,,,,,,
3616,265,462,0,0.426,0,22,31,,T2,BB/HR,,,,,,
3617,608,797,0,0.237,0,509,31,,T2,BB/HR,,,,,,
3618,725,849,0,0.146,0,522,31,,T2,BB/HR,,,,,,
3619,455,1068,0,0.574,0,520,28,,T2,BB/HR,,,,,,
3620,490,834,0,0.412,0,627,28,,T2,BB/HR,,,,,,
3621,352,542,0,0.351,0,295,28,,T2,BB/HR,,,,,,
3622,487,1138,0,0.572,0,727,28,,T2,BB/HR,,,,,,
3623,101,158,0,0.361,0,493,31,,T2,BB/HR,,,,,,
