date,experiment,run,run.total,colony.id,species,site,timepoint,history,treatment,tank,chamber,channel,coral.vol,light.start,light.stop,light.temp,dark.start,dark.stop,dark.temp,light.level,surface.area,Notes,chamber.vol,Notes
20230919,three-spp,6,10,PAST-C0789,PAST,BB,Initial,Ambient,Heated,5,1,1,21,16:28:00,16:50:00,28.7,16:51:00,17:11:00,28.7,NA,20.307,NA,619,
20230919,three-spp,6,10,PAST-C0562,PAST,BB,Initial,Heated,NA,5,2,2,24.5,16:28:00,16:50:00,28.7,16:51:00,17:11:00,28.7,NA,NA,NA,615.5,No SA measurement
20230919,three-spp,6,10,PAST-F0830,PAST,BB,Initial,Heated,Ambient,5,3,3,9.5,16:28:00,16:50:00,28.7,16:51:00,17:11:00,28.7,NA,9.17,NA,630.5,Bad SA measurment
20230919,three-spp,6,10,PAST-C0483,PAST,BB,Initial,Ambient,NA,5,4,4,31,16:28:00,16:50:00,28.7,16:51:00,17:11:00,28.7,NA,20.644,NA,609,
20230919,three-spp,6,10,MCAV-C0814,MCAV,BB,Initial,Heated,NA,5,5,5,28.5,16:28:00,16:50:00,28.7,16:51:00,17:11:00,28.7,NA,20.659,NA,611.5,
20230919,three-spp,6,10,MCAV-E0816,MCAV,BB,Initial,Heated,Heated,5,6,6,30,16:28:00,16:50:00,28.7,16:51:00,17:11:00,28.7,NA,20.516,NA,610,
20230919,three-spp,6,10,BLNK-BL010,NA,NA,Initial,NA,NA,5,7,7,0,16:28:00,16:50:00,28.7,16:51:00,17:11:00,28.7,NA,NA,NA,640,
20230925,patch-rim,1,11,PAST-A0805,PAST,BB,Initial,Ambient,NA,3,1,1,21,11:10:00,11:30:00,28.9,11:33:00,11:53:00,28.9,NA,NA,NA,619,
20230925,patch-rim,1,11,PAST-A0471,PAST,BB,Initial,Heated,NA,3,2,2,44,11:10:00,11:30:00,28.9,11:33:00,11:53:00,28.9,NA,NA,NA,596,
20230925,patch-rim,1,11,PAST-B0192,PAST,BB,Initial,Ambient,NA,3,3,3,43,11:10:00,11:30:00,28.9,11:33:00,11:53:00,28.9,NA,NA,NA,597,
20230925,patch-rim,1,11,PAST-B0706,PAST,BB,Initial,Heated,NA,3,4,4,31,11:10:00,11:30:00,28.9,11:33:00,11:53:00,28.9,NA,NA,NA,609,
20230925,patch-rim,1,11,PAST-C0226,PAST,BB,Initial,Ambient,NA,3,5,5,39,11:10:00,11:30:00,28.9,11:33:00,11:53:00,28.9,NA,NA,NA,601,
20230925,patch-rim,1,11,BLNK-BL011,NA,BB,Initial,NA,NA,3,6,6,0,11:10:00,11:30:00,28.9,11:33:00,11:53:00,28.9,NA,NA,NA,640,
20230925,patch-rim,1,11,PAST-C0649,PAST,BB,Initial,Heated,NA,3,7,7,35,11:10:00,11:30:00,28.9,11:33:00,11:53:00,28.9,NA,NA,NA,605,
20230925,patch-rim,1,11,PAST-D0223,PAST,BB,Initial,Ambient,NA,3,8,8,25.5,11:10:00,11:30:00,28.9,11:33:00,11:53:00,28.9,NA,NA,NA,614.5,
20230925,patch-rim,1,11,PAST-D0654,PAST,BB,Initial,Heated,NA,3,9,9,49.5,11:10:00,11:30:00,28.9,11:33:00,11:53:00,28.9,NA,NA,NA,590.5,
20230925,patch-rim,1,11,PAST-E0517,PAST,BB,Initial,Ambient,NA,3,10,10,41.5,11:10:00,11:30:00,28.9,11:33:00,11:53:00,28.9,NA,NA,NA,598.5,
20230925,patch-rim,1,11,PAST-E0766,PAST,BB,Initial,Heated,NA,3,11,11,26.5,11:10:00,11:30:00,28.9,11:33:00,11:53:00,28.9,NA,NA,NA,613.5,
20230925,patch-rim,2,12,PAST-F0538,PAST,BB,Initial,Ambient,NA,3,1,1,49.5,13:52:00,14:12:00,NA,14:15:00,14:35:00,NA,NA,NA,NA,590.5,
20230925,patch-rim,2,12,PAST-F0765,PAST,BB,Initial,Heated,NA,3,2,2,33,13:52:00,14:12:00,NA,14:15:00,14:35:00,NA,NA,NA,NA,607,
20230925,patch-rim,2,12,BLNK-BL012,NA,NA,Initial,NA,NA,3,3,3,0,13:52:00,14:12:00,NA,14:15:00,14:35:00,NA,NA,NA,NA,640,
20230925,patch-rim,2,12,PAST-G0949,PAST,BB,Initial,Ambient,NA,3,4,4,30.5,13:52:00,14:12:00,NA,14:15:00,14:35:00,NA,NA,NA,NA,609.5,
20230925,patch-rim,2,12,PAST-G0773,PAST,BB,Initial,Heated,NA,3,5,5,43,13:52:00,14:12:00,NA,14:15:00,14:35:00,NA,NA,NA,NA,597,
20230925,patch-rim,2,12,PAST-H0729,PAST,BB,Initial,Ambient,NA,3,6,6,34.5,13:52:00,14:12:00,NA,14:15:00,14:35:00,NA,NA,NA,NA,605.5,
20230925,patch-rim,2,12,PAST-H0204,PAST,BB,Initial,Heated,NA,3,7,7,39,13:52:00,14:12:00,NA,14:15:00,14:35:00,NA,NA,NA,NA,601,
20230925,patch-rim,2,12,PAST-I0500,PAST,BB,Initial,Ambient,NA,3,8,8,23,13:52:00,14:12:00,NA,14:15:00,14:35:00,NA,NA,NA,NA,NA,
20230925,patch-rim,2,12,PAST-I0764,PAST,BB,Initial,Heated,NA,3,9,9,40,13:52:00,14:12:00,NA,14:15:00,14:35:00,NA,NA,NA,NA,NA,
20230925,patch-rim,2,12,PAST-J0370,PAST,BB,Initial,Ambient,NA,3,10,10,32,13:52:00,14:12:00,NA,14:15:00,14:35:00,NA,NA,NA,NA,608,
20230925,patch-rim,2,12,PAST-J0342,PAST,BB,Initial,Heated,NA,3,11,11,62,13:52:00,14:12:00,NA,14:15:00,14:35:00,NA,NA,NA,NA,578,
20230925,patch-rim,3,13,PAST-A0627,PAST,BB,Initial,Ambient,Ambient,3,1,1,26,15:29:00,15:46:00,NA,15:46:00,16:03:00,NA,NA,NA,NA,614,
20230925,patch-rim,3,13,PAST-A0231,PAST,BB,Initial,Heated,NA,3,2,2,23,15:29:00,15:46:00,NA,15:46:00,16:03:00,NA,NA,NA,NA,NA,
20230925,patch-rim,3,13,PAST-B0926,PAST,BB,Initial,Ambient,Ambient,3,3,3,36,15:29:00,15:46:00,NA,15:46:00,16:03:00,NA,NA,NA,NA,NA,
20230925,patch-rim,3,13,PAST-B0800,PAST,BB,Initial,Heated,Ambient,3,4,4,26,15:29:00,15:46:00,NA,15:46:00,16:03:00,NA,NA,NA,NA,NA,
20230925,patch-rim,3,13,BLNK-BL013,NA,NA,Initial,NA,NA,3,5,5,0,15:29:00,15:46:00,NA,15:46:00,16:03:00,NA,NA,NA,NA,640,
