"Plot Title: HOBO20"
"#","Date Time, GMT-03:00","Temp, °C (LGR S/N: 1058720, SEN S/N: 1058720)","Intensity, Lux (LGR S/N: 1058720, SEN S/N: 1058720)","Host Connected (LGR S/N: 1058720)","Coupler Attached (LGR S/N: 1058720)","Coupler Detached (LGR S/N: 1058720)","End Of File (LGR S/N: 1058720)"
257,07/12/23 09:10:00 AM,28.853,33066.9,,,,
258,07/12/23 09:15:00 AM,29.152,13777.9,,,,
259,07/12/23 09:20:00 AM,28.853,7577.8,,,,
260,07/12/23 09:25:00 AM,29.252,26178.0,,,,
261,07/12/23 09:30:00 AM,29.252,37200.2,,,,
262,07/12/23 09:35:00 AM,29.352,42711.4,,,,
263,07/12/23 09:40:00 AM,29.053,10677.8,,,,
264,07/12/23 09:45:00 AM,28.754,44089.2,,,,
265,07/12/23 09:50:00 AM,28.357,34444.7,,,,
266,07/12/23 09:55:00 AM,28.357,7233.4,,,,
267,07/12/23 10:00:00 AM,28.655,20666.8,,,,
268,07/12/23 10:05:00 AM,28.655,16533.4,,,,
269,07/12/23 10:10:00 AM,28.555,35822.5,,,,
270,07/12/23 10:15:00 AM,28.754,20666.8,,,,
271,07/12/23 10:20:00 AM,29.352,21355.7,,,,
272,07/12/23 10:25:00 AM,29.452,37200.2,,,,
273,07/12/23 10:30:00 AM,29.752,44089.2,,,,
274,07/12/23 10:35:00 AM,29.152,28933.5,,,,
275,07/12/23 10:40:00 AM,28.555,9300.1,,,,
276,07/12/23 10:45:00 AM,28.754,30311.3,,,,
277,07/12/23 10:50:00 AM,29.152,24800.2,,,,
278,07/12/23 10:55:00 AM,28.655,4650.0,,,,
279,07/12/23 11:00:00 AM,28.159,5166.7,,,,
280,07/12/23 11:05:00 AM,28.060,6200.0,,,,
281,07/12/23 11:10:00 AM,28.655,22044.6,,,,
282,07/12/23 11:15:00 AM,29.352,49600.3,,,,
283,07/12/23 11:20:00 AM,29.252,11022.3,,,,
284,07/12/23 11:25:00 AM,29.652,31689.1,,,,
285,07/12/23 11:30:00 AM,29.752,33066.9,,,,
286,07/12/23 11:35:00 AM,29.352,37200.2,,,,
287,07/12/23 11:40:00 AM,29.252,33066.9,,,,
288,07/12/23 11:45:00 AM,29.252,22044.6,,,,
289,07/12/23 11:50:00 AM,28.655,41333.6,,,,
290,07/12/23 11:55:00 AM,28.655,34444.7,,,,
291,07/12/23 12:00:00 PM,28.555,9300.1,,,,
292,07/12/23 12:05:00 PM,28.853,14466.8,,,,
293,07/12/23 12:10:00 PM,28.853,38578.0,,,,
294,07/12/23 12:15:00 PM,28.754,13777.9,,,,
295,07/12/23 12:20:00 PM,28.953,38578.0,,,,
296,07/12/23 12:25:00 PM,29.252,34444.7,,,,
297,07/12/23 12:30:00 PM,28.853,12400.1,,,,
298,07/12/23 12:35:00 PM,28.655,14466.8,,,,
299,07/12/23 12:40:00 PM,28.159,17222.3,,,,
300,07/12/23 12:45:00 PM,28.357,23422.4,,,,
301,07/12/23 12:50:00 PM,28.655,34444.7,,,,
302,07/12/23 12:55:00 PM,28.853,34444.7,,,,
303,07/12/23 01:00:00 PM,28.953,23422.4,,,,
304,07/12/23 01:05:00 PM,29.053,42711.4,,,,
305,07/12/23 01:10:00 PM,28.953,23422.4,,,,
306,07/12/23 01:15:00 PM,29.053,28933.5,,,,
